#enable_time_secs=1556708941	enable_time_usecs=864507	siftrver=1.2.4	hz=1000	tcp_rtt_scale=32	sysname=FreeBSD	sysver=1001000	ipmode=4
o,0xc21a6ed5,1556708941.864533,10.1.1.67,22,10.1.1.11,35517,1073725440,20434,0,66560,66608,6,6,4,1448,152,1,16778212,230,33304,208,66608,0,156,0,1
o,0x3f0a9bb9,1556708941.864542,10.1.1.67,22,10.1.1.11,35517,1073725440,20434,0,66560,66608,6,6,4,1448,152,1,16778212,230,33304,260,66608,0,208,0,1
o,0xc510f38f,1556708941.864748,10.1.1.67,22,10.1.1.11,35517,1073725440,20434,0,66560,66608,6,6,4,1448,152,1,16778212,230,33304,296,66608,0,260,0,1
i,0x4327b606,1556708941.864754,10.1.1.67,22,10.1.1.11,35517,1073725440,20434,0,66560,66608,6,6,4,1448,152,1,16778212,230,33304,296,66608,0,296,0,1
i,0x53627865,1556708941.864758,10.1.1.67,22,10.1.1.11,35517,1073725440,20590,0,66496,66608,6,6,4,1448,161,1,996,230,33304,140,66608,0,140,0,2
o,0xbcc42f2e,1556708941.864892,10.1.1.67,22,10.1.1.11,35517,1073725440,20694,0,66432,66608,6,6,4,1448,145,1,16778212,230,33304,140,66608,0,36,0,2
i,0x0d684186,1556708941.865144,10.1.1.67,22,10.1.1.11,35517,1073725440,20694,0,66432,66608,6,6,4,1448,145,1,16778212,230,33304,140,66608,0,140,0,2
i,0x7d207430,1556708941.865449,10.1.1.67,22,10.1.1.11,35517,1073725440,20834,0,66496,66608,6,6,4,1448,127,1,996,230,33304,0,66608,0,0,0,1
i,0xbc1909d0,1556708941.879271,10.1.1.67,22,10.1.1.11,35517,1073725440,20834,0,66560,66608,6,6,4,1448,127,1,996,230,33304,0,66608,0,0,0,1
o,0x20d36fc6,1556708941.879274,10.1.1.67,22,10.1.1.11,35517,1073725440,20834,0,66560,66608,6,6,5,1448,127,1,997,230,33304,0,66608,36,0,0,1
o,0x2e666846,1556708941.879405,10.1.1.67,22,10.1.1.11,35517,1073725440,20834,0,66560,66608,6,6,8,1448,127,1,996,230,33304,0,0,0,0,0,1
i,0xabb43b06,1556708941.879661,10.1.1.67,22,10.1.1.11,35517,1073725440,20834,0,66560,66608,6,6,8,1448,127,1,1012,230,33304,0,0,0,1,0,1
i,0xe3019a8a,1556708941.983445,10.1.1.67,22,10.1.1.11,20001,1073725440,14481,0,66560,66608,6,6,4,1448,159,1,16778208,231,33304,0,66608,0,0,0,0
