enable_time_secs=1556709023	enable_time_usecs=994571	siftrver=1.2.4	hz=1000	tcp_rtt_scale=32	sysname=FreeBSD	sysver=1001000	ipmode=4
i,0x1d01ecda,1556709024.407591,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,510,1,16778208,274,33304,68,66608,0,68,0,1
o,0x2dd9735a,1556709024.407602,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,527,1,16778208,264,33304,52,66608,0,0,0,21
i,0xb5078c51,1556709024.408080,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,527,1,16778208,264,33304,52,66608,0,52,0,21
o,0x74c16e6d,1556709024.408520,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,462,1,16778208,267,33304,100,66608,0,0,0,1
i,0x1c3af21b,1556709024.409015,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,462,1,16778208,267,33304,100,66608,0,100,0,1
o,0x1b40a7b8,1556709024.412399,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,409,1,16778208,265,33304,52,66608,0,0,0,2
i,0xb83aa1b2,1556709024.412824,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,409,1,16778208,265,33304,52,66608,0,52,0,2
o,0xf3655415,1556709024.412867,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,362,1,16778208,262,33304,36,66608,0,0,0,2
i,0x74e86a87,1556709024.427930,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,362,1,16778208,262,33304,36,66608,0,36,0,2
o,0x0a358cfa,1556709024.427976,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,377,1,16778208,254,33304,52,66608,0,0,0,16
i,0x499ec98a,1556709024.457620,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,377,1,16778208,254,33304,52,66608,0,52,0,16
o,0xb3437011,1556709024.457715,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,450,1,16778208,264,33304,36,66608,0,0,0,31
i,0xd0a3461d,1556709024.458334,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,450,1,16778208,264,33304,36,66608,0,36,0,31
o,0x3303cba3,1556709024.458549,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,394,1,16778212,264,33304,88,66608,0,0,0,1
o,0xbf8c13da,1556709024.464092,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,394,1,16778212,264,33304,140,66608,0,88,0,1
i,0x63d39b2a,1556709024.464352,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,394,1,16778212,264,33304,140,66608,0,140,0,1
o,0xcaaa781f,1556709024.465961,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66496,66608,6,6,4,1448,365,1,16778212,257,33304,132,66608,0,0,0,1
o,0x4d891749,1556709024.465972,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66496,66608,6,6,4,1448,365,1,16778212,257,33304,216,66608,0,132,0,1
i,0xdf324c69,1556709024.466229,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66496,66608,6,6,4,1448,365,1,16778212,257,33304,216,66608,0,216,0,1
o,0x5f310eff,1556709024.564704,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66368,66608,6,6,4,1448,320,1,16778212,256,33304,52,66608,0,0,0,1
o,0x86a418fa,1556709024.565091,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66368,66608,6,6,4,1448,320,1,16778212,256,33304,192,66608,0,52,0,1
i,0xb3eac7c8,1556709024.565358,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66368,66608,6,6,4,1448,320,1,16778212,256,33304,192,66608,0,192,0,1
i,0x0a633732,1556709024.565724,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66432,66608,6,6,4,1448,280,1,996,253,33304,0,66608,0,0,0,1
o,0x2697ff08,1556709024.671792,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,280,1,997,253,33304,0,66608,0,0,0,1
i,0x9222880d,1556709024.672050,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,280,1,996,253,33304,0,66608,0,0,0,1
o,0x28942378,1556709024.672091,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,280,1,16778212,253,33304,52,66608,0,0,0,1
i,0xef692986,1556709024.678101,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,280,1,16778212,253,33304,52,66608,0,52,0,1
o,0xa695563e,1556709024.678300,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,269,1,16778212,244,33304,88,66608,0,0,0,1
o,0xfdcd7853,1556709024.683987,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,269,1,16778212,244,33304,124,66608,0,88,0,1
o,0xc67947eb,1556709024.684050,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,269,1,16778212,244,33304,228,66608,0,124,0,1
i,0x6e1ba8e9,1556709024.684255,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,269,1,16778212,244,33304,228,66608,0,228,0,1
i,0x7c290092,1556709024.684620,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,260,1,996,237,33304,104,66608,0,104,0,1
i,0x4e6b33f5,1556709024.708783,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,4,1448,232,1,996,236,33304,0,66608,0,0,0,1
o,0x602e5708,1556709024.708787,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,5,1448,232,1,997,236,33304,0,66608,36,0,0,1
o,0x6dc14f88,1556709024.708910,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,8,1448,232,1,996,236,33304,0,0,0,0,0,1
i,0x303b6b88,1556709024.709037,10.1.1.67,22,10.1.1.11,18909,4464,5792,0,66560,66608,6,6,8,1448,232,1,1012,236,33304,0,0,0,1,0,1
i,0xd7737701,1556709025.708245,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,120,1,996,230,33304,0,66608,0,0,0,1
o,0x5394df1d,1556709025.708279,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,120,1,16778212,230,33304,52,66608,0,0,0,1
i,0x3df5c5ea,1556709025.737639,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,120,1,16778212,230,33304,52,66608,0,52,0,1
o,0x4a038c14,1556709025.737727,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,225,1,16778212,247,33304,36,66608,0,0,0,31
i,0xb1920a84,1556709025.738409,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,225,1,16778212,247,33304,36,66608,0,36,0,31
o,0xa8852682,1556709025.738635,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,197,1,16778212,243,33304,88,66608,0,0,0,1
o,0x99c83a3c,1556709025.744186,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,197,1,16778212,243,33304,140,66608,0,88,0,1
i,0x86774109,1556709025.744453,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115712,66608,6,6,4,1448,197,1,16778212,243,33304,140,66608,0,140,0,1
o,0xb668d899,1556709025.844702,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115648,66608,6,6,4,1448,193,1,16778212,235,33304,52,66608,0,0,0,1
o,0x15dd7f5c,1556709025.845046,10.1.1.67,22,10.1.1.11,59350,4344,5792,0,115648,66608,6,6,4,1448,193,1,16778212,235,33304,192,66608,0,52,0,1
